student_id,full_name,age,gender,city,email,group_id,enrollment_date,group_name,course_id,stated_num_students,session_day,session_time,instructor,course_name,category,difficulty_level,duration_weeks,short_description,modules,is_active,score_mean,score_count,max_score_first,total_sessions,attended_sessions,attendance_rate,avg_concept_mastery,min_concept_score,max_concept_score,concepts_passed,total_events,events_forum_post,events_login,events_quiz_attempt,events_resource_download,events_video_watch,total_video_seconds,device_mobile,device_web,0,1,time_spent_minutes,attempts
S0001,Hana Gamal,27,Male,Mansoura,hana.gamal@kayfa-student.io,G03,2025-12-14,Group 03 — C002,C002,67,Sunday,6 PM,Dr. Laila ElBaz,Python Programming,Programming,Beginner,14,Python Programming — hands-on programming track at Kayfa.,"[""Variables & Types"", ""Control Flow"", ""Functions"", ""Data Structures"", ""Recursion"", ""File I/O"", ""Error Handling""]",True,69.08181818181818,11,100,26,22,84.62,73.99583333333332,46.3,96.6,18,54,3,16,9,7,19,110106,21,33,3,1.0,119.0,1.3333333333333333
S0002,Mona Abdelaziz,25,Female,Zagazig,mona.abdelaziz@kayfa-student.io,G06,2025-12-03,Group 06 — C004,C004,56,Saturday,17:00,Dr. Mona Saad,UI/UX Design,Design,Beginner,10,UI/UX Design — hands-on design track at Kayfa.,"[""Design Principles"", ""Wireframing"", ""Color Theory"", ""Prototyping"", ""Usability Testing""]",True,94.14545454545454,11,100,26,25,96.15,87.95,70.0,100.0,24,79,6,32,7,9,25,18570,35,44,3,0.0,41.333333333333336,2.6666666666666665
S0003,Menna Naguib,20,Male,Ismailia,menna.naguib@kayfa-student.io,G05,2025-12-17,Group 05 — C003,C003,76,Tuesday,1800,Eng. Khaled Adel,Web Development,Programming,Intermediate,16,Web Development — hands-on programming track at Kayfa.,"[""HTML & Semantics"", ""CSS Layout"", ""JavaScript DOM"", ""HTTP & APIs"", ""Responsive Design""]",True,71.42999999999999,10,100,26,23,88.46,77.12083333333334,48.1,93.9,22,64,4,27,10,6,17,11317,29,35,3,1.0,127.0,1.6666666666666667
S0004,Aya ElShafei,21,Male,Giza,aya.elshafei@kayfa-student.io,G02,2025-12-12,Group 02 — C001,C001,56,Thursday,18:00,Dr. Mona Saad,Data Analytics Fundamentals,Analytics,Beginner,12,Data Analytics Fundamentals — hands-on analytics track at Kayfa.,"[""Spreadsheets & Tabular Data"", ""Descriptive Statistics"", ""Data Cleaning"", ""GroupBy & Aggregation"", ""Joins & Merges"", ""Data Visualization Basics""]",True,81.69,10,100,26,23,88.46,76.47500000000001,60.8,90.3,24,84,7,27,17,6,27,17301,33,51,3,0.0,121.66666666666667,1.3333333333333333
S0005,Habiba Mahmoud,24,Male,Giza,habiba.mahmoud@kayfa-student.io,G01,2025-12-14,Group 01 — C001,C001,52,Thursday,16:00,Eng. Khaled Adel,Data Analytics Fundamentals,Analytics,Beginner,12,Data Analytics Fundamentals — hands-on analytics track at Kayfa.,"[""Spreadsheets & Tabular Data"", ""Descriptive Statistics"", ""Data Cleaning"", ""GroupBy & Aggregation"", ""Joins & Merges"", ""Data Visualization Basics""]",True,70.76363636363637,11,10,26,20,76.92,71.336,53.3,95.9,18,51,3,17,5,7,19,11072,23,28,3,0.0,99.33333333333333,2.0
S0006,Aya ElSayed,18,Female,Zagazig,aya.elsayed@kayfa-student.io,G07,2025-12-06,Group 07 — C005,C005,70,Wednesday,21:00,Eng. Hossam Refaat,Digital Marketing,Business,Beginner,8,Digital Marketing — hands-on business track at Kayfa.,"[""SEO Basics"", ""Content Strategy"", ""Paid Ads"", ""Funnel Analytics""]",True,75.0,11,100,26,15,57.69,63.35,29.3,87.5,14,62,2,25,9,7,19,10119,27,35,4,3.0,79.0,1.0
S0007,Omar Darwish,25,Male,Asyut,omar.darwish@kayfa-student.io,G04,2025-12-14,Group 04 — C002,C002,65,Saturday,16:00,Eng. Hossam Refaat,Python Programming,Programming,Beginner,14,Python Programming — hands-on programming track at Kayfa.,"[""Variables & Types"", ""Control Flow"", ""Functions"", ""Data Structures"", ""Recursion"", ""File I/O"", ""Error Handling""]",True,72.55454545454546,11,100,26,23,88.46,68.45416666666667,27.5,99.9,18,73,6,31,9,12,15,8637,27,46,3,1.0,81.66666666666667,1.3333333333333333
S0008,Mona Gamal,25,Male,Zagazig,mona.gamal@kayfa-student.io,G04,2025-12-04,Group 04 — C002,C002,65,Saturday,16:00,Eng. Hossam Refaat,Python Programming,Programming,Beginner,14,Python Programming — hands-on programming track at Kayfa.,"[""Variables & Types"", ""Control Flow"", ""Functions"", ""Data Structures"", ""Recursion"", ""File I/O"", ""Error Handling""]",True,83.55,12,100,26,24,92.31,84.47083333333333,65.9,100.0,24,67,3,27,9,5,23,15546,25,42,3,0.0,86.33333333333333,1.6666666666666667
S0009,Mahmoud Awad,23,Female,Ismailia,mahmoud.awad@kayfa-student.io,G01,2025-12-05,Group 01 — C001,C001,52,Thursday,16:00,Eng. Khaled Adel,Data Analytics Fundamentals,Analytics,Beginner,12,Data Analytics Fundamentals — hands-on analytics track at Kayfa.,"[""Spreadsheets & Tabular Data"", ""Descriptive Statistics"", ""Data Cleaning"", ""GroupBy & Aggregation"", ""Joins & Merges"", ""Data Visualization Basics""]",True,73.04545454545455,11,100,26,20,76.92,63.083999999999996,-33.0,84.5,16,51,2,22,6,7,14,7788,17,34,3,2.0,128.33333333333334,1.0
S0010,Abdelrahman ElBaz,25,Female,Mansoura,abdelrahman.elbaz@kayfa-student.io,G05,2025-12-02,Group 05 — C003,C003,76,Tuesday,1800,Eng. Khaled Adel,Web Development,Programming,Intermediate,16,Web Development — hands-on programming track at Kayfa.,"[""HTML & Semantics"", ""CSS Layout"", ""JavaScript DOM"", ""HTTP & APIs"", ""Responsive Design""]",True,66.90833333333333,12,100,26,21,80.77,64.10000000000001,36.1,79.9,17,89,15,27,15,9,23,13753,40,49,3,0.0,150.0,2.3333333333333335
